ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
19,2.68,34.61,76.31,977.0,12632.0,464.2,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2019
20,2.27,23.41,62.4,830.0,8568.0,380.6,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2020
21,2.46,25.82,71.02,897.0,9425.0,432.0,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2021
22,2.63,28.0,72.55,959.0,10219.0,441.4,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2022
23,2.64,30.0,74.27,963.0,10948.0,451.8,Total,Population 6 years or older,Total,Value,West-Nederland (LD),2023
24,2.79,34.91,71.77,1018.0,12741.0,436.6,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2018
25,2.74,34.04,70.18,1001.0,12425.0,426.9,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2019
26,2.44,24.29,60.69,895.0,8889.0,370.2,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2020
27,2.55,26.1,67.35,932.0,9527.0,409.7,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2021
28,2.73,30.15,71.41,998.0,11004.0,434.4,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2022
29,2.79,32.12,72.59,1019.0,11725.0,441.6,Total,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2023
30,2.81,37.46,73.7,1024.0,13675.0,448.4,Total,Population 6 years or older,Total,Value,Groningen (PV),2018
31,2.63,39.76,75.17,961.0,14514.0,457.3,Total,Population 6 years or older,Total,Value,Groningen (PV),2019
32,2.27,26.74,61.89,831.0,9786.0,377.5,Total,Population 6 years or older,Total,Value,Groningen (PV),2020
33,2.41,30.47,69.22,880.0,11121.0,421.1,Total,Population 6 years or older,Total,Value,Groningen (PV),2021
34,2.62,33.62,71.98,958.0,12272.0,437.9,Total,Population 6 years or older,Total,Value,Groningen (PV),2022
35,2.72,31.42,71.93,994.0,11468.0,437.6,Total,Population 6 years or older,Total,Value,Groningen (PV),2023
36,2.7,42.6,75.7,986.0,15548.0,460.5,Total,Population 6 years or older,Total,Value,Fryslân (PV),2018
37,2.63,43.52,75.01,958.0,15886.0,456.3,Total,Population 6 years or older,Total,Value,Fryslân (PV),2019
38,2.51,29.52,63.43,918.0,10804.0,386.9,Total,Population 6 years or older,Total,Value,Fryslân (PV),2020
39,2.49,32.12,69.53,908.0,11725.0,423.0,Total,Population 6 years or older,Total,Value,Fryslân (PV),2021
40,2.73,36.4,76.09,998.0,13286.0,462.9,Total,Population 6 years or older,Total,Value,Fryslân (PV),2022
41,2.73,36.4,72.3,995.0,13285.0,439.8,Total,Population 6 years or older,Total,Value,Fryslân (PV),2023
42,2.82,43.08,73.11,1028.0,15725.0,444.7,Total,Population 6 years or older,Total,Value,Drenthe (PV),2018
43,2.81,40.32,74.35,1027.0,14716.0,452.3,Total,Population 6 years or older,Total,Value,Drenthe (PV),2019
44,2.4,28.14,60.2,880.0,10298.0,367.2,Total,Population 6 years or older,Total,Value,Drenthe (PV),2020
45,2.61,31.99,72.24,952.0,11675.0,439.5,Total,Population 6 years or older,Total,Value,Drenthe (PV),2021
46,2.69,35.45,75.0,982.0,12940.0,456.2,Total,Population 6 years or older,Total,Value,Drenthe (PV),2022
47,2.71,37.71,72.06,988.0,13763.0,438.4,Total,Population 6 years or older,Total,Value,Drenthe (PV),2023
48,2.87,37.98,72.15,1049.0,13861.0,438.9,Total,Population 6 years or older,Total,Value,Overijssel (PV),2018
49,2.8,38.69,72.65,1023.0,14121.0,441.9,Total,Population 6 years or older,Total,Value,Overijssel (PV),2019
50,2.42,26.06,61.9,886.0,9539.0,377.6,Total,Population 6 years or older,Total,Value,Overijssel (PV),2020
51,2.62,28.19,68.69,956.0,10288.0,417.8,Total,Population 6 years or older,Total,Value,Overijssel (PV),2021
52,2.86,31.95,71.46,1045.0,11662.0,434.7,Total,Population 6 years or older,Total,Value,Overijssel (PV),2022
53,2.89,34.21,72.18,1054.0,12487.0,439.1,Total,Population 6 years or older,Total,Value,Overijssel (PV),2023
54,2.69,42.97,76.5,980.0,15685.0,465.4,Total,Population 6 years or older,Total,Value,Flevoland (PV),2018
55,2.55,41.63,71.07,930.0,15197.0,432.4,Total,Population 6 years or older,Total,Value,Flevoland (PV),2019
56,2.24,30.09,61.66,820.0,11011.0,376.1,Total,Population 6 years or older,Total,Value,Flevoland (PV),2020
57,2.34,32.49,68.03,853.0,11861.0,413.9,Total,Population 6 years or older,Total,Value,Flevoland (PV),2021
58,2.5,35.97,71.1,911.0,13128.0,432.5,Total,Population 6 years or older,Total,Value,Flevoland (PV),2022
59,2.56,36.19,72.6,936.0,13211.0,441.6,Total,Population 6 years or older,Total,Value,Flevoland (PV),2023
60,2.86,38.33,74.79,1044.0,13992.0,455.0,Total,Population 6 years or older,Total,Value,Gelderland (PV),2018
61,2.78,37.95,75.45,1016.0,13853.0,459.0,Total,Population 6 years or older,Total,Value,Gelderland (PV),2019
62,2.47,27.32,62.55,905.0,10000.0,381.6,Total,Population 6 years or older,Total,Value,Gelderland (PV),2020
63,2.6,29.75,70.33,947.0,10859.0,427.8,Total,Population 6 years or older,Total,Value,Gelderland (PV),2021
64,2.86,32.91,75.11,1046.0,12014.0,456.9,Total,Population 6 years or older,Total,Value,Gelderland (PV),2022
65,2.84,34.92,74.16,1036.0,12746.0,451.1,Total,Population 6 years or older,Total,Value,Gelderland (PV),2023
66,2.89,37.88,77.13,1056.0,13825.0,469.2,Total,Population 6 years or older,Total,Value,Utrecht (PV),2018
67,2.81,40.15,76.84,1026.0,14656.0,467.4,Total,Population 6 years or older,Total,Value,Utrecht (PV),2019
68,2.43,26.57,64.29,888.0,9726.0,392.2,Total,Population 6 years or older,Total,Value,Utrecht (PV),2020
69,2.57,28.4,71.26,937.0,10366.0,433.5,Total,Population 6 years or older,Total,Value,Utrecht (PV),2021
70,2.8,31.74,74.44,1021.0,11585.0,452.8,Total,Population 6 years or older,Total,Value,Utrecht (PV),2022
71,2.82,34.64,76.7,1029.0,12645.0,466.6,Total,Population 6 years or older,Total,Value,Utrecht (PV),2023
72,2.76,35.45,78.38,1006.0,12940.0,476.8,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2018
73,2.63,33.39,78.04,962.0,12186.0,474.7,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2019
74,2.24,22.38,61.98,820.0,8190.0,378.1,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2020
75,2.44,25.11,72.26,892.0,9164.0,439.6,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2021
76,2.59,27.48,73.76,947.0,10030.0,448.7,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2022
77,2.61,28.63,74.44,954.0,10450.0,452.8,Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2023
78,2.71,32.95,75.22,989.0,12028.0,457.6,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2018
79,2.66,33.25,75.48,970.0,12137.0,459.2,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2019
80,2.22,22.7,61.91,814.0,8307.0,377.6,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2020
81,2.41,24.84,70.0,880.0,9066.0,425.8,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2021
82,2.58,26.68,70.74,940.0,9737.0,430.3,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2022
83,2.59,28.99,73.77,945.0,10580.0,448.8,Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2023
84,2.69,32.41,64.93,984.0,11829.0,395.0,Total,Population 6 years or older,Total,Value,Zeeland (PV),2018
85,2.72,37.4,69.64,991.0,13652.0,423.7,Total,Population 6 years or older,Total,Value,Zeeland (PV),2019
86,2.34,26.94,63.68,858.0,9859.0,388.5,Total,Population 6 years or older,Total,Value,Zeeland (PV),2020
87,2.6,31.58,70.73,950.0,11526.0,430.3,Total,Population 6 years or older,Total,Value,Zeeland (PV),2021
88,2.78,31.52,74.33,1015.0,11507.0,452.2,Total,Population 6 years or older,Total,Value,Zeeland (PV),2022
89,2.67,33.72,69.25,974.0,12308.0,421.3,Total,Population 6 years or older,Total,Value,Zeeland (PV),2023
90,2.8,35.9,72.48,1022.0,13102.0,440.9,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2018
91,2.75,35.23,71.02,1005.0,12858.0,432.1,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2019
92,2.47,24.43,60.89,904.0,8940.0,371.4,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2020
93,2.57,26.41,67.04,939.0,9641.0,407.9,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2021
94,2.75,30.76,72.4,1005.0,11227.0,440.4,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2022
95,2.8,33.81,74.0,1023.0,12342.0,450.1,Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2023
96,2.77,32.67,70.18,1010.0,11925.0,426.9,Total,Population 6 years or older,Total,Value,Limburg (PV),2018
97,2.71,31.34,68.27,991.0,11440.0,415.3,Total,Population 6 years or older,Total,Value,Limburg (PV),2019
98,2.38,23.96,60.22,872.0,8771.0,367.3,Total,Population 6 years or older,Total,Value,Limburg (PV),2020
99,2.51,25.38,68.05,915.0,9265.0,414.0,Total,Population 6 years or older,Total,Value,Limburg (PV),2021
100,2.69,28.73,69.12,980.0,10487.0,420.4,Total,Population 6 years or older,Total,Value,Limburg (PV),2022
101,2.77,28.2,69.32,1011.0,10295.0,421.7,Total,Population 6 years or older,Total,Value,Limburg (PV),2023
102,2.7,32.66,77.71,987.0,11922.0,472.7,Total,Population 6 years or older,Total,Value,Extremely urbanised,2018
103,2.59,31.41,76.64,947.0,11464.0,466.2,Total,Population 6 years or older,Total,Value,Extremely urbanised,2019
104,2.14,20.77,61.54,782.0,7601.0,375.4,Total,Population 6 years or older,Total,Value,Extremely urbanised,2020
105,2.33,23.02,71.0,852.0,8402.0,431.9,Total,Population 6 years or older,Total,Value,Extremely urbanised,2021
106,2.52,25.44,72.81,918.0,9287.0,442.9,Total,Population 6 years or older,Total,Value,Extremely urbanised,2022
107,2.55,26.93,74.64,930.0,9831.0,454.0,Total,Population 6 years or older,Total,Value,Extremely urbanised,2023
108,2.8,36.07,74.99,1023.0,13165.0,456.2,Total,Population 6 years or older,Total,Value,Strongly urbanised,2018
109,2.74,36.08,74.2,1000.0,13168.0,451.4,Total,Population 6 years or older,Total,Value,Strongly urbanised,2019
110,2.37,24.69,61.67,869.0,9035.0,376.2,Total,Population 6 years or older,Total,Value,Strongly urbanised,2020
111,2.52,27.1,68.85,921.0,9890.0,418.8,Total,Population 6 years or older,Total,Value,Strongly urbanised,2021
112,2.72,30.49,72.49,993.0,11128.0,441.0,Total,Population 6 years or older,Total,Value,Strongly urbanised,2022
113,2.76,32.42,73.8,1006.0,11832.0,449.0,Total,Population 6 years or older,Total,Value,Strongly urbanised,2023
114,2.84,35.97,73.58,1036.0,13128.0,447.6,Total,Population 6 years or older,Total,Value,Moderately urbanised,2018
115,2.8,37.09,74.26,1022.0,13539.0,451.7,Total,Population 6 years or older,Total,Value,Moderately urbanised,2019
116,2.51,26.07,62.75,917.0,9543.0,382.8,Total,Population 6 years or older,Total,Value,Moderately urbanised,2020
117,2.61,28.01,68.68,952.0,10222.0,417.8,Total,Population 6 years or older,Total,Value,Moderately urbanised,2021
118,2.83,31.28,73.98,1032.0,11416.0,450.0,Total,Population 6 years or older,Total,Value,Moderately urbanised,2022
119,2.83,33.41,73.49,1033.0,12193.0,447.1,Total,Population 6 years or older,Total,Value,Moderately urbanised,2023
120,2.84,39.49,73.29,1036.0,14415.0,445.8,Total,Population 6 years or older,Total,Value,Hardly urbanised,2018
121,2.76,38.32,72.36,1007.0,13986.0,440.2,Total,Population 6 years or older,Total,Value,Hardly urbanised,2019
122,2.44,27.24,62.03,893.0,9969.0,378.4,Total,Population 6 years or older,Total,Value,Hardly urbanised,2020
123,2.61,30.02,69.99,951.0,10959.0,425.8,Total,Population 6 years or older,Total,Value,Hardly urbanised,2021
124,2.8,33.72,72.51,1022.0,12308.0,441.1,Total,Population 6 years or older,Total,Value,Hardly urbanised,2022
125,2.79,34.76,72.09,1019.0,12687.0,438.6,Total,Population 6 years or older,Total,Value,Hardly urbanised,2023
126,2.67,38.39,69.39,975.0,14011.0,422.1,Total,Population 6 years or older,Total,Value,Not urbanised,2018
127,2.64,41.35,74.01,963.0,15093.0,450.3,Total,Population 6 years or older,Total,Value,Not urbanised,2019
128,2.41,29.99,62.73,881.0,10978.0,382.6,Total,Population 6 years or older,Total,Value,Not urbanised,2020
129,2.53,32.74,71.91,924.0,11950.0,437.4,Total,Population 6 years or older,Total,Value,Not urbanised,2021
130,2.65,33.73,70.64,967.0,12312.0,429.8,Total,Population 6 years or older,Total,Value,Not urbanised,2022
131,2.7,37.27,72.29,987.0,13605.0,439.8,Total,Population 6 years or older,Total,Value,Not urbanised,2023
396,0.96,18.16,24.52,350.0,6628.0,149.2,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018
397,0.95,18.02,24.52,346.0,6578.0,149.2,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019
398,0.81,13.14,18.63,295.0,4811.0,113.7,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020
399,0.82,14.05,19.99,300.0,5129.0,121.6,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021
400,0.87,15.13,21.44,317.0,5524.0,130.4,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022
401,0.91,16.12,22.72,333.0,5883.0,138.2,Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023
402,1.01,20.77,25.51,369.0,7583.0,155.2,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2018
403,0.98,20.93,25.33,359.0,7640.0,154.1,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2019
404,0.88,15.36,19.95,323.0,5624.0,121.7,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2020
405,0.9,16.29,21.21,329.0,5947.0,129.0,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2021
406,0.95,18.24,24.2,346.0,6656.0,147.2,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2022
407,0.98,18.54,23.51,357.0,6769.0,143.0,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Nederland (LD),2023
408,1.04,20.46,26.26,380.0,7467.0,159.8,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2018
409,1.02,20.03,26.03,371.0,7310.0,158.4,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2019
410,0.87,14.92,20.2,318.0,5462.0,123.2,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2020
411,0.89,15.59,21.44,323.0,5691.0,130.4,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2021
412,0.94,16.81,22.85,342.0,6135.0,139.0,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2022
413,0.99,18.07,24.42,362.0,6594.0,148.6,Total,Population 6 years or older,Passenger car (driver),Value,Oost-Nederland (LD),2023
414,0.86,16.67,23.39,313.0,6083.0,142.3,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2018
415,0.84,16.46,23.41,307.0,6009.0,142.4,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2019
416,0.69,11.74,17.09,253.0,4298.0,104.2,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2020
417,0.72,12.59,18.51,262.0,4594.0,112.6,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2021
418,0.76,13.37,19.61,276.0,4879.0,119.3,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2022
419,0.78,14.3,20.94,285.0,5218.0,127.4,Total,Population 6 years or older,Passenger car (driver),Value,West-Nederland (LD),2023
420,1.07,18.0,24.86,391.0,6570.0,151.2,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2018
421,1.1,18.16,25.12,403.0,6630.0,152.8,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2019
422,0.96,13.49,19.93,351.0,4938.0,121.5,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2020
423,0.96,14.78,21.34,351.0,5393.0,129.8,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2021
424,1.01,16.01,22.88,369.0,5844.0,139.2,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2022
425,1.1,17.17,24.68,401.0,6265.0,150.1,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Nederland (LD),2023
426,0.87,16.52,21.82,319.0,6029.0,132.8,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018
427,0.85,18.83,23.23,312.0,6873.0,141.3,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019
428,0.78,13.86,18.57,284.0,5074.0,113.3,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020
429,0.84,15.15,20.37,306.0,5529.0,123.9,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021
430,0.8,16.42,21.93,292.0,5994.0,133.4,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022
431,0.83,14.16,19.53,302.0,5170.0,118.8,Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023
432,1.01,22.01,25.71,370.0,8034.0,156.4,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018
433,0.97,22.87,26.35,356.0,8346.0,160.3,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019
434,0.93,17.42,21.41,342.0,6377.0,130.6,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020
435,0.92,17.51,21.4,334.0,6392.0,130.2,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021
436,1.0,19.89,26.05,366.0,7261.0,158.5,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022
437,1.02,20.27,24.56,371.0,7397.0,149.4,Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023
438,1.17,24.22,29.64,427.0,8840.0,180.3,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018
439,1.15,20.89,26.49,421.0,7626.0,161.1,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019
440,0.94,14.45,19.68,345.0,5287.0,120.1,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020
441,0.96,16.05,21.95,351.0,5859.0,133.5,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021
442,1.05,18.22,24.48,383.0,6649.0,148.9,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022
443,1.11,21.51,26.89,404.0,7850.0,163.6,Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023
444,1.06,19.92,25.59,386.0,7269.0,155.7,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018
445,0.97,18.27,24.55,355.0,6668.0,149.4,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019
446,0.87,14.1,20.0,319.0,5160.0,122.0,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020
447,0.9,15.32,21.23,327.0,5591.0,129.2,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021
448,0.9,16.22,21.73,328.0,5920.0,132.2,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022
449,1.0,17.25,23.19,363.0,6295.0,141.1,Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023
450,1.0,22.96,27.23,363.0,8381.0,165.7,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018
451,0.97,20.79,25.17,353.0,7587.0,153.1,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2019
452,0.86,17.27,20.33,315.0,6320.0,124.0,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2020
453,0.8,16.44,20.24,291.0,6000.0,123.2,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2021
454,0.88,18.71,23.24,322.0,6829.0,141.4,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2022
455,0.97,20.95,26.28,353.0,7648.0,159.9,Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2023
456,1.04,20.26,26.45,380.0,7395.0,160.9,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2018
457,1.05,20.86,27.03,383.0,7613.0,164.4,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2019
458,0.87,14.91,20.29,318.0,5458.0,123.8,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2020
459,0.9,15.57,21.8,328.0,5684.0,132.6,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2021
460,0.97,16.75,23.39,354.0,6112.0,142.3,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2022
461,0.99,17.92,24.72,362.0,6541.0,150.4,Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2023
462,0.91,18.71,24.03,331.0,6829.0,146.2,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2018
463,0.89,19.88,25.68,324.0,7256.0,156.2,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2019
464,0.73,13.71,18.48,268.0,5017.0,112.7,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2020
465,0.76,14.16,19.27,277.0,5168.0,117.2,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2021
466,0.82,15.31,21.11,298.0,5588.0,128.4,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2022
467,0.83,16.38,22.51,303.0,5979.0,136.9,Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2023
468,0.8,16.21,22.48,290.0,5916.0,136.7,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2018
469,0.77,15.14,21.9,281.0,5525.0,133.2,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2019
470,0.66,10.59,15.76,242.0,3875.0,96.1,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2020
471,0.67,11.94,17.74,244.0,4358.0,107.9,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2021
472,0.69,12.78,18.33,253.0,4667.0,111.5,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2022
473,0.72,13.27,19.12,262.0,4844.0,116.3,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2023
474,0.88,16.14,23.98,320.0,5892.0,145.9,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2018
475,0.86,15.82,23.5,315.0,5773.0,143.0,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2019
476,0.68,11.71,17.47,251.0,4288.0,106.6,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2020
477,0.72,11.94,18.38,262.0,4358.0,111.8,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2021
478,0.76,12.79,19.81,277.0,4667.0,120.5,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2022
479,0.79,13.74,21.43,289.0,5014.0,130.4,Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2023
480,0.99,18.22,22.43,361.0,6651.0,136.5,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2018
481,1.02,20.63,25.89,371.0,7529.0,157.5,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2019
482,0.86,13.79,18.51,316.0,5047.0,112.9,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2020
483,0.93,18.15,22.76,341.0,6624.0,138.5,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2021
484,0.98,16.54,21.92,359.0,6038.0,133.3,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2022
485,0.99,20.13,24.4,363.0,7347.0,148.4,Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2023
486,1.05,18.82,25.64,384.0,6870.0,156.0,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2018
487,1.09,19.09,25.82,396.0,6968.0,157.1,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2019
488,0.94,13.54,19.73,343.0,4954.0,120.4,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2020
489,0.96,15.15,21.9,351.0,5529.0,133.2,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2021
490,0.99,16.32,23.09,363.0,5956.0,140.5,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2022
